Logger,Settlement,Shaded,Intervention Type,Master Max Temperature,Master Min Temperature,Master Average Temperature,Temp Diff Max Temperature,Temp Diff Min Temperature,Temp Diff Average Temperature
U-03,Rainbow Field,True,RBF,47.0,26.7,33.597073623775756,8.218333333333334,-11.1,0.038917732035674606
U-04,Rainbow Field,False,MEB,47.9,26.4,33.92199810377201,14.726666666666668,-7.366666666666667,0.5159033378136203
U-05,Rainbow Field,True,MEB,53.2,26.3,33.92725954567424,17.200000000000003,-7.916666666666668,0.3747796591489167
U-08,Rainbow Field,False,MEB,49.5,26.5,31.945257051865333,19.5,-5.399999999999999,0.18746584699453597
U-09,Rainbow Field,False,RBF,47.5,27.2,34.50979396230235,12.06,-5.700000000000003,0.9559751478353292
U-11,Rainbow Field,False,RBF,39.1,28.3,31.929412167717178,6.700000000000003,-4.600000000000001,0.42217146390052934
U-12,Rainbow Field,False,MEB,48.0,26.9,31.94599971729451,18.85666666666667,-7.100000000000001,0.6487853237716562
U-13,Rainbow Field,True,RBF,41.7,26.5,32.74390316558764,7.699999999999999,-8.870000000000005,-0.352031449553001
U-14,Rainbow Field,False,RBF,54.5,26.8,35.34996363759365,20.550000000000004,-9.9,1.8014677463255309
U-15,Rainbow Field,False,RBF,46.2,26.9,33.99345421332161,12.483333333333334,-11.126666666666658,0.43670742422438774
U-16,Sports Complex,False,RBF,46.3,27.1,33.76593210623527,8.100000000000001,-8.700000000000003,0.46861815426644493
U-17,Sports Complex,True,RBF,44.7,26.5,32.60547509917961,11.56666666666667,-10.61,-0.27060388906104704
U-18,Sports Complex,False,RBF,51.4,26.8,33.47553090794359,12.400000000000006,-8.029999999999994,0.6904725614720733
U-19,Sports Complex,True,MEB,39.9,26.5,31.908993477131474,9.16,-9.740000000000006,-0.9753951746549622
U-20,Sports Complex,True,MEB,42.3,26.0,32.15860205749448,10.613333333333332,-8.269999999999996,-0.724913326215665
U-21,Sports Complex,True,MEB,43.0,25.9,31.873348970449694,9.900000000000002,-9.200000000000005,-1.0094476568039707
U-22,Sports Complex,True,RBF,42.1,26.0,31.650691359449215,6.599999999999998,-9.9,-1.2342446040843724
U-23,Sports Complex,True,RBF,44.4,26.6,32.346506242642945,9.5,-12.1,-0.5316274776525453
U-25,Sports Complex,False,MEB,50.2,26.7,33.59612537256033,16.866666666666664,-6.933333333333327,0.7243134446788335
U-26,Sports Complex,False,Unknown,41.2,29.2,33.128344671201816,7.5,-3.198333333333334,0.878710739614995
U-28,Sports Complex,False,MEB,47.0,26.6,32.97645302356046,12.063333333333336,-9.790000000000006,0.10249877356054767
U-29,Sports Complex,False,MEB,46.9,26.6,33.07255615220278,11.5,-8.229999999999997,0.19878215940596006
U-31,Sports Complex,True,MEB,39.9,26.6,31.753787616075215,8.379999999999999,-11.32,-1.128775882478508
U-32,Sports Complex,True,RBF,43.6,27.5,31.903868423583724,6.549999999999997,-8.400000000000006,-0.980425318584643
U-33,Sports Complex,True,RBF,41.6,26.6,31.590580222711747,7.400000000000002,-7.979999999999997,-1.2080032539213488
U-34,Sports Complex,True,CONTROL,38.7,27.6,31.53983730900297,6.806666666666668,-6.233333333333331,-0.697083747835378
U-36,Sports Complex,True,RBF,39.4,26.9,31.569559591699814,7.773333333333333,-6.799999999999997,-0.7909473050213024
U-37,Sports Complex,True,RBF,35.6,27.2,30.714848407643313,3.0,-6.699999999999999,-1.5820864622981174
U-38,Sports Complex,True,RBF,39.6,27.9,32.47528907592225,7.399999999999999,-9.6,-0.40199611273080627
