Date,Time,name,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
2024-06-02,02:00,"Kankarbagh, Patna",29.2,35.6,25.6,80.77,0.0,0.0,,0,0,32.4,15.5,78.0,1001.6,84.9,2.6,0,0.0,0,5,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
2024-06-02,03:00,"Kankarbagh, Patna",29.0,34.5,25.0,79.06,0.0,0.0,,0,0,14.0,18.4,80.0,1002.0,88.8,3.0,0,0.0,0,5,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
2024-06-02,04:00,"Kankarbagh, Patna",30.0,36.2,25.0,74.63,0.0,0.0,,0,0,11.2,13.0,110.0,1002.0,88.8,3.0,0,0.0,0,5,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
2024-06-02,05:00,"Kankarbagh, Patna",28.7,33.0,23.8,75.02,0.0,0.0,,0,0,11.2,12.6,96.0,1002.2,61.8,3.2,0,0.0,0,5,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-02,06:00,"Kankarbagh, Patna",30.0,37.4,26.0,79.19,0.0,0.0,,0,0,14.8,14.8,80.0,1003.0,50.0,4.0,10,0.0,0,5,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-02,07:00,"Kankarbagh, Patna",31.0,40.6,27.0,79.33,0.0,0.0,,0,0,12.6,13.0,80.0,1004.0,27.0,4.0,128,0.5,1,5,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-02,08:00,"Kankarbagh, Patna",32.2,39.8,25.2,66.77,0.0,0.0,,0,0,9.7,12.2,84.0,1004.0,27.0,4.6,343,1.2,3,3,Partially cloudy,partly-cloudy-day,"42387099999,42488099999,VEPT,42492099999"
2024-06-02,09:00,"Kankarbagh, Patna",33.0,42.1,26.0,66.78,0.0,0.0,,0,0,7.6,14.8,90.0,1004.0,27.0,5.0,533,1.9,5,3,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-02,10:00,"Kankarbagh, Patna",34.0,44.5,26.6,65.44,0.0,0.0,,0,0,7.6,11.2,80.0,1004.0,50.0,5.0,757,2.7,8,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
2024-06-02,11:00,"Kankarbagh, Patna",34.7,43.9,25.6,59.39,0.0,0.0,,0,0,7.9,12.3,70.0,1004.0,46.1,4.6,898,3.2,9,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
