name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Kankarbagh, Patna",2024-06-02T05:00:00,28.7,33,23.8,75.02,0,0,,0,0,11.2,12.6,96,1002.2,61.8,3.2,0,0,0,5,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T06:00:00,30,37.4,26,79.19,0,0,,0,0,14.8,14.8,80,1003,50,4,10,0,0,5,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T07:00:00,31,40.6,27,79.33,0,0,,0,0,12.6,13,80,1004,27,4,128,0.5,1,5,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T08:00:00,32.2,39.8,25.2,66.77,0,0,,0,0,9.7,12.2,84,1004,27,4.6,343,1.2,3,3,Partially cloudy,partly-cloudy-day,"42387099999,42488099999,VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T09:00:00,33,42.1,26,66.78,0,0,,0,0,7.6,14.8,90,1004,27,5,533,1.9,5,3,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T10:00:00,34,44.5,26.6,65.44,0,0,,0,0,7.6,11.2,80,1004,50,5,757,2.7,8,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T11:00:00,34.7,43.9,25.6,59.39,0,0,,0,0,7.9,12.3,70,1004,46.1,4.6,898,3.2,9,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T12:00:00,36,48.1,27,59.95,0,0,,0,0,7.2,16.6,70,1003,27,5,980,3.5,10,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T13:00:00,36,50.1,28,63.56,0,0,,0,0,11.2,16.6,90,1003,50,5,997,3.6,10,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T14:00:00,36.3,48.4,26.9,58.65,0,0,,0,0,13,13.3,102,1002.1,61.8,5.2,950,3.4,10,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T15:00:00,37,51.5,28,60.17,0,0,,0,0,14.4,13,90,1001,50,6,844,3,8,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T16:00:00,37,49.4,27,56.75,0,0,,0,0,15.8,11.2,100,1000,27,6,686,2.5,7,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T17:00:00,35.7,47.8,27,61.1,0,0,,0,0,15.5,9.7,91,1000.1,3.9,5.2,490,1.8,5,10,Clear,clear-day,"42387099999,42488099999,VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T18:00:00,36,52.4,29,67.37,0,0,,0,0,12.6,9.4,60,1001,0,5,272,1,3,10,Clear,clear-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T19:00:00,35,51,29,71.19,0,0,,0,0,15.8,9.4,60,1001,27,4,68,0.2,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T20:00:00,33.3,45.9,27.8,72.95,0,0,,0,0,10.4,7.8,58,1002.2,27,4,0,0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T21:00:00,34,49.5,29,75.26,0,0,,0,0,15.8,9.4,70,1003,50,4,0,0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T22:00:00,33,47.9,29,79.6,0,0,,0,0,20.2,13,60,1003,50,4,0,0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-02T23:00:00,31.5,43.2,27.9,81.32,0,0,,0,0,22,12.2,56,1002.2,73,4,0,0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T00:00:00,31,44.3,29,89.14,0,0,,0,0,18.4,16.6,60,1002,88.8,4,0,0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T01:00:00,31,44.3,29,89.14,0,0,,0,0,11.5,11.2,60,1002,50,4,0,0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T02:00:00,30.4,40.7,27.7,85.11,0,0,,0,0,9,9.7,64,1001.3,61.8,4,0,0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T03:00:00,31,44.3,29,89.14,0,0,,0,0,11.2,11.2,70,1001,50,4,0,0,0,3,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T04:00:00,30,42.2,29,94.4,0,0,,0,0,7.2,7.6,60,1001,50,3,0,0,0,10,Partially cloudy,partly-cloudy-night,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T05:00:00,29.3,38.2,27.5,90.13,0,0,,0,0,10.1,4.6,80,1002,27,2.6,0,0,0,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T06:00:00,31,44.3,29,89.14,0,0,,0,0,6.1,7.6,60,1002,27,4,10,0,0,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T07:00:00,33,50.3,30,84.32,0,0,,0,0,1.8,3.6,120,1003,27,4,148,0.5,1,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T08:00:00,33.2,46.1,28,74.52,0,0,,0,0,4.7,3.3,219,1003.2,30.9,3.2,357,1.3,4,10,Partially cloudy,partly-cloudy-day,"42387099999,42488099999,VEPT,42492099999"
"Kankarbagh, Patna",2024-06-03T09:00:00,35,51,29,71.19,0,0,,0,0,8.3,0,0,1003,27,4,533,1.9,5,10,Partially cloudy,partly-cloudy-day,"VEPT,42492099999"
